target_month,region,channel,budget_owner,target_spend,actual_spend,spend_variance,spend_attainment,spend_status,target_revenue,actual_revenue,revenue_variance,revenue_attainment,revenue_status,target_leads,actual_leads,lead_variance,lead_attainment
2025-01-01,,paid_search,finance,298024.74,3344108.93,3046084.1900000004,11.2209104854852,over_target,526461.8,0.0,-526461.8,0.0,below_target,1930,326.0,-1604.0,0.1689119170984456
2025-01-01,,paid_social,growth,399718.3,8093259.91,7693541.61,20.247409012797263,over_target,637680.6,0.0,-637680.6,0.0,below_target,14742,399.0,-14343.0,0.027065527065527
2025-01-01,,email,growth,344091.04,0.0,-344091.04,0.0,under_target,443075.03,0.0,-443075.03,0.0,below_target,2796,180.0,-2616.0,0.0643776824034334
2025-01-01,,organic,growth,138697.1,0.0,-138697.1,0.0,under_target,138055.37,0.0,-138055.37,0.0,below_target,7275,165.0,-7110.0,0.022680412371134
2025-01-01,,direct,growth,351312.2,0.0,-351312.2,0.0,under_target,168074.61,0.0,-168074.61,0.0,below_target,4595,91.0,-4504.0,0.0198041349292709
2025-01-01,LATAM,paid_search,regional_marketing,153037.16,3344108.93,3191071.77,21.851613882536764,over_target,528608.6,0.0,-528608.6,0.0,below_target,7234,326.0,-6908.0,0.0450649709704174
2025-01-01,LATAM,paid_social,growth,195017.9,8093259.91,7898242.01,41.50008747914935,over_target,415985.54,0.0,-415985.54,0.0,below_target,4870,399.0,-4471.0,0.0819301848049281
2025-01-01,LATAM,email,regional_marketing,256719.52,0.0,-256719.52,0.0,under_target,274686.22,0.0,-274686.22,0.0,below_target,6997,180.0,-6817.0,0.025725310847506
2025-01-01,LATAM,organic,finance,413779.63,0.0,-413779.63,0.0,under_target,1007623.09,0.0,-1007623.09,0.0,below_target,7343,165.0,-7178.0,0.0224703799536973
2025-01-01,LATAM,direct,growth,285669.57,0.0,-285669.57,0.0,under_target,463169.76,0.0,-463169.76,0.0,below_target,9497,91.0,-9406.0,0.009581973254712
2025-01-01,EMEA,paid_search,finance,81251.21,3344108.93,3262857.72,41.157650821446225,over_target,161854.14,0.0,-161854.14,0.0,below_target,7875,326.0,-7549.0,0.0413968253968254
2025-01-01,EMEA,paid_social,finance,413867.13,8093259.91,7679392.78,19.5552130704364,over_target,688076.4,0.0,-688076.4,0.0,below_target,547,399.0,-148.0,0.7294332723948812
2025-01-01,EMEA,email,finance,296639.47,0.0,-296639.47,0.0,under_target,990624.84,0.0,-990624.84,0.0,below_target,3188,180.0,-3008.0,0.0564617314930991
2025-01-01,EMEA,organic,finance,111275.03,0.0,-111275.03,0.0,under_target,397351.49,0.0,-397351.49,0.0,below_target,5882,165.0,-5717.0,0.028051683100986
2025-01-01,EMEA,direct,finance,398540.04,0.0,-398540.04,0.0,under_target,964577.59,0.0,-964577.59,0.0,below_target,4380,91.0,-4289.0,0.0207762557077625
2025-01-01,APAC,paid_search,growth,80342.72,3344108.93,3263766.21,41.623048485289026,over_target,536496.23,0.0,-536496.23,0.0,below_target,9581,326.0,-9255.0,0.0340256758167205
2025-01-01,APAC,paid_social,finance,128347.59,8093259.91,7964912.32,63.057357835858085,over_target,942914.43,0.0,-942914.43,0.0,below_target,14321,399.0,-13922.0,0.0278611828782906
2025-01-01,APAC,email,regional_marketing,80061.96,0.0,-80061.96,0.0,under_target,381591.14,0.0,-381591.14,0.0,below_target,12146,180.0,-11966.0,0.0148196937263296
2025-01-01,APAC,organic,finance,35077.63,0.0,-35077.63,0.0,under_target,128698.06,0.0,-128698.06,0.0,below_target,7854,165.0,-7689.0,0.0210084033613445
2025-01-01,APAC,direct,growth,161233.5,0.0,-161233.5,0.0,under_target,590043.26,0.0,-590043.26,0.0,below_target,9216,91.0,-9125.0,0.0098741319444444
2025-01-01,,paid_search,regional_marketing,23614.02,3344108.93,3320494.91,141.6154017825004,over_target,467849.47,0.0,-467849.47,0.0,below_target,5794,326.0,-5468.0,0.0562651018294787
2025-01-01,,paid_social,finance,78727.21,8093259.91,8014532.7,102.80130478394952,over_target,944556.05,0.0,-944556.05,0.0,below_target,8978,399.0,-8579.0,0.0444419692581866
2025-01-01,,email,regional_marketing,330329.94,0.0,-330329.94,0.0,under_target,921794.89,0.0,-921794.89,0.0,below_target,10621,180.0,-10441.0,0.0169475567272384
2025-01-01,,organic,growth,252619.87,0.0,-252619.87,0.0,under_target,811840.94,0.0,-811840.94,0.0,below_target,11340,165.0,-11175.0,0.0145502645502645
2025-01-01,,direct,finance,351073.53,0.0,-351073.53,0.0,under_target,429011.04,0.0,-429011.04,0.0,below_target,12921,91.0,-12830.0,0.0070427985450042
2025-01-01,LATAM,paid_search,regional_marketing,117450.26,3344108.93,3226658.6700000004,28.47255450945788,over_target,628751.51,0.0,-628751.51,0.0,below_target,3784,326.0,-3458.0,0.0861522198731501
2025-01-01,LATAM,paid_social,growth,124561.21,8093259.91,7968698.7,64.97415937112365,over_target,1117541.78,0.0,-1117541.78,0.0,below_target,12964,399.0,-12565.0,0.0307775377969762
2025-01-01,LATAM,email,regional_marketing,266004.82,0.0,-266004.82,0.0,under_target,1166775.37,0.0,-1166775.37,0.0,below_target,1739,180.0,-1559.0,0.1035077630822311
2025-01-01,LATAM,organic,finance,319805.15,0.0,-319805.15,0.0,under_target,437019.62,0.0,-437019.62,0.0,below_target,12470,165.0,-12305.0,0.0132317562149157
2025-01-01,LATAM,direct,regional_marketing,153875.72,0.0,-153875.72,0.0,under_target,896218.82,0.0,-896218.82,0.0,below_target,4203,91.0,-4112.0,0.0216512015227218
2025-01-01,EMEA,paid_search,regional_marketing,315738.97,3344108.93,3028369.96,10.59137213882721,over_target,265384.09,0.0,-265384.09,0.0,below_target,1556,326.0,-1230.0,0.2095115681233933
2025-01-01,EMEA,paid_social,regional_marketing,74231.85,8093259.91,8019028.0600000005,109.0267844597703,over_target,397653.7,0.0,-397653.7,0.0,below_target,8926,399.0,-8527.0,0.0447008738516692
2025-01-01,EMEA,email,regional_marketing,282304.96,0.0,-282304.96,0.0,under_target,1129335.23,0.0,-1129335.23,0.0,below_target,11670,180.0,-11490.0,0.0154241645244215
2025-01-01,EMEA,organic,finance,274764.48,0.0,-274764.48,0.0,under_target,290425.09,0.0,-290425.09,0.0,below_target,836,165.0,-671.0,0.1973684210526315
2025-01-01,EMEA,direct,growth,326806.7,0.0,-326806.7,0.0,under_target,552200.54,0.0,-552200.54,0.0,below_target,10588,91.0,-10497.0,0.008594635436343
2025-01-01,APAC,paid_search,regional_marketing,117042.29,3344108.93,3227066.64,28.57180024416816,over_target,416559.17,0.0,-416559.17,0.0,below_target,5029,326.0,-4703.0,0.0648240206800556
2025-01-01,APAC,paid_social,finance,193289.13,8093259.91,7899970.78,41.87126254849406,over_target,725564.43,0.0,-725564.43,0.0,below_target,2420,399.0,-2021.0,0.1648760330578512
2025-01-01,APAC,email,finance,132829.34,0.0,-132829.34,0.0,under_target,1023975.89,0.0,-1023975.89,0.0,below_target,10569,180.0,-10389.0,0.0170309395401646
2025-01-01,APAC,organic,growth,224809.36,0.0,-224809.36,0.0,under_target,533740.95,0.0,-533740.95,0.0,below_target,1786,165.0,-1621.0,0.0923852183650615
2025-01-01,APAC,direct,regional_marketing,346689.35,0.0,-346689.35,0.0,under_target,1115279.73,0.0,-1115279.73,0.0,below_target,6247,91.0,-6156.0,0.0145669921562349
2025-01-01,,paid_search,finance,308185.73,3344108.93,3035923.2,10.850953189818362,over_target,195024.96,0.0,-195024.96,0.0,below_target,13380,326.0,-13054.0,0.0243647234678624
2025-01-01,,paid_social,regional_marketing,229049.72,8093259.91,7864210.19,35.33407467164771,over_target,1044886.24,0.0,-1044886.24,0.0,below_target,5439,399.0,-5040.0,0.0733590733590733
2025-01-01,,email,finance,316737.3,0.0,-316737.3,0.0,under_target,1113052.76,0.0,-1113052.76,0.0,below_target,9977,180.0,-9797.0,0.0180414954395108
2025-01-01,,organic,growth,354177.81,0.0,-354177.81,0.0,under_target,238807.27,0.0,-238807.27,0.0,below_target,3653,165.0,-3488.0,0.0451683547768957
2025-01-01,,direct,growth,219989.32,0.0,-219989.32,0.0,under_target,852641.46,0.0,-852641.46,0.0,below_target,3742,91.0,-3651.0,0.0243185462319615
2025-01-01,LATAM,paid_search,regional_marketing,33405.41,3344108.93,3310703.52,100.10680695132912,over_target,689887.06,0.0,-689887.06,0.0,below_target,2619,326.0,-2293.0,0.1244749904543719
2025-01-01,LATAM,paid_social,regional_marketing,284563.04,8093259.91,7808696.87,28.44100874800888,over_target,956696.23,0.0,-956696.23,0.0,below_target,1378,399.0,-979.0,0.2895500725689405
2025-01-01,LATAM,email,regional_marketing,90358.26,0.0,-90358.26,0.0,under_target,348383.8,0.0,-348383.8,0.0,below_target,7802,180.0,-7622.0,0.0230710074339912
2025-01-01,LATAM,organic,growth,135146.52,0.0,-135146.52,0.0,under_target,1155255.3,0.0,-1155255.3,0.0,below_target,8127,165.0,-7962.0,0.0203026947212993
2025-01-01,LATAM,direct,regional_marketing,127381.39,0.0,-127381.39,0.0,under_target,407796.8,0.0,-407796.8,0.0,below_target,9106,91.0,-9015.0,0.0099934109378431
2025-01-01,EMEA,paid_search,finance,196037.09,3344108.93,3148071.8400000003,17.058552185201282,over_target,1163268.0,0.0,-1163268.0,0.0,below_target,12201,326.0,-11875.0,0.0267191213834931
2025-01-01,EMEA,paid_social,regional_marketing,36904.23,8093259.91,8056355.68,219.30439708401988,over_target,480444.44,0.0,-480444.44,0.0,below_target,4927,399.0,-4528.0,0.0809823421960625
2025-01-01,EMEA,email,growth,35539.21,0.0,-35539.21,0.0,under_target,1071371.1,0.0,-1071371.1,0.0,below_target,6446,180.0,-6266.0,0.0279242941358982
2025-01-01,EMEA,organic,regional_marketing,90764.37,0.0,-90764.37,0.0,under_target,158723.73,0.0,-158723.73,0.0,below_target,11145,165.0,-10980.0,0.0148048452220726
2025-01-01,EMEA,direct,finance,130881.67,0.0,-130881.67,0.0,under_target,571212.94,0.0,-571212.94,0.0,below_target,5337,91.0,-5246.0,0.0170507775904065
2025-01-01,APAC,paid_search,finance,108732.65,3344108.93,3235376.2800000003,30.755333655530332,over_target,939189.44,0.0,-939189.44,0.0,below_target,8823,326.0,-8497.0,0.0369488835996826
2025-01-01,APAC,paid_social,finance,394245.73,8093259.91,7699014.18,20.528465609507048,over_target,617319.21,0.0,-617319.21,0.0,below_target,4908,399.0,-4509.0,0.0812958435207824
2025-01-01,APAC,email,regional_marketing,205097.27,0.0,-205097.27,0.0,under_target,857614.22,0.0,-857614.22,0.0,below_target,3676,180.0,-3496.0,0.0489662676822633
2025-01-01,APAC,organic,regional_marketing,200391.01,0.0,-200391.01,0.0,under_target,330714.5,0.0,-330714.5,0.0,below_target,8895,165.0,-8730.0,0.0185497470489038
2025-01-01,APAC,direct,growth,83315.53,0.0,-83315.53,0.0,under_target,105087.08,0.0,-105087.08,0.0,below_target,3574,91.0,-3483.0,0.0254616675993284
2025-01-01,,paid_search,finance,93905.35,3344108.93,3250203.58,35.61148464917068,over_target,942940.2,0.0,-942940.2,0.0,below_target,7139,326.0,-6813.0,0.0456646589158145
2025-01-01,,paid_social,growth,396420.14,8093259.91,7696839.7700000005,20.41586461777648,over_target,497696.36,0.0,-497696.36,0.0,below_target,8148,399.0,-7749.0,0.0489690721649484
2025-01-01,,email,regional_marketing,29633.0,0.0,-29633.0,0.0,under_target,160747.34,0.0,-160747.34,0.0,below_target,2367,180.0,-2187.0,0.0760456273764258
2025-01-01,,organic,regional_marketing,269473.07,0.0,-269473.07,0.0,under_target,725638.67,0.0,-725638.67,0.0,below_target,395,165.0,-230.0,0.4177215189873418
2025-01-01,,direct,growth,200478.12,0.0,-200478.12,0.0,under_target,1139940.82,0.0,-1139940.82,0.0,below_target,4238,91.0,-4147.0,0.0214723926380368
2025-01-01,LATAM,paid_search,growth,182502.96,3344108.93,3161605.97,18.3235873544188,over_target,1001811.53,0.0,-1001811.53,0.0,below_target,2378,326.0,-2052.0,0.137089991589571
2025-01-01,LATAM,paid_social,regional_marketing,26574.75,8093259.91,8066685.16,304.54698200359366,over_target,1009671.72,0.0,-1009671.72,0.0,below_target,10941,399.0,-10542.0,0.036468330134357
2025-01-01,LATAM,email,growth,96818.01,0.0,-96818.01,0.0,under_target,475491.85,0.0,-475491.85,0.0,below_target,10939,180.0,-10759.0,0.0164548861870372
