optimization_rank,campaign_id,campaign_name,normalized_channel,spend,conversions,attributed_revenue,attributed_roas,cost_per_conversion,spend_share,revenue_share,efficiency_gap,opportunity_score,waste_budget_flag,recommended_action,recommended_budget_shift_pct,recommended_monthly_budget,optimization_reason
189,CMP-000005,RETARGETING APAC 2025 SOCIAL,paid_social,14646.83,53,14575.0,0.9950958671603344,276.3552830188679,0.0039431136832441,0.0013739468567725,-0.0025691668264715,3.943729870639901,True,monitor,0.0,14646.83,Balanced spend and conversion performance.
191,CMP-000036,Creator Spark APAC FY25 Social,paid_social,16434.05,54,14850.0,0.90361170861717,304.3342592592592,0.0044242561309251,0.001399870382372,-0.0030243857485531,3.590829329020668,True,monitor,0.0,16434.05,Balanced spend and conversion performance.
192,CMP-000018,CREATOR SPARK NA Q4 SOCIAL,paid_social,14953.56,50,13750.0,0.9195134804019912,299.0712,0.0040256893163375,0.001296176279974,-0.0027295130363634,3.588071541516472,True,monitor,0.0,14953.56,Balanced spend and conversion performance.
193,CMP-000039,Retargeting APAC 2025 Social,paid_social,10486.57,37,10175.0,0.9702886644536776,283.4208108108108,0.0028231185626717,0.0009591704471808,-0.0018639481154909,3.510869135601187,True,monitor,0.0,10486.57,Balanced spend and conversion performance.
194,CMP-000053,Enterprise ABM Global 2024 Social,paid_social,23119.879999999997,68,18700.0,0.8088277274795544,339.9982352941176,0.0062241669482721,0.0017627997407647,-0.0044613672075074,3.3800490699447265,True,reduce,-0.25,17339.909999999996,High spend is not producing enough attributed revenue.
195,CMP-000032,Regional Expansion Global FY25 Social,paid_social,14971.52,47,12925.0,0.8633057966058222,318.54297872340425,0.0040305243776955,0.0012184057031756,-0.0028121186745199,3.313909085797902,True,monitor,0.0,14971.52,Balanced spend and conversion performance.
196,CMP-000059,Regional Expansion US FY25,paid_search,8570.87,30,8250.0,0.9625627270043764,285.6956666666667,0.0023073876582377,0.0007777057679844,-0.0015296818902533,3.2901312691448243,True,monitor,0.0,8570.87,Balanced spend and conversion performance.
197,CMP-000033,CART RECOVERY GLOBAL Q4 SOCIAL,paid_social,9713.66,33,9075.0,0.9342513532489298,294.35333333333335,0.0026150413202297,0.0008554763447828,-0.0017595649754468,3.276911442411786,True,monitor,0.0,9713.66,Balanced spend and conversion performance.
198,CMP-000057,product_launch_apac_fy25_social,paid_social,9879.08,33,9075.0,0.9186078055851354,299.3660606060606,0.0026595744967247,0.0008554763447828,-0.0018040981519418,3.2213013217002806,True,monitor,0.0,9879.08,Balanced spend and conversion performance.
199,CMP-000064,Cart Recovery APAC Q4 Social,paid_social,9786.33,32,8800.0,0.8992134947421556,305.8228125,0.0026346050122615,0.0008295528191834,-0.0018050521930781,3.1260562618078653,True,monitor,0.0,9786.33,Balanced spend and conversion performance.
200,CMP-000036,Holiday Promo EMEA 2025 Social,paid_social,8349.24,28,7700.0,0.9222396289961722,298.1871428571429,0.0022477220319133,0.0007258587167854,-0.0015218633151278,3.090235023815805,True,monitor,0.0,8349.24,Balanced spend and conversion performance.
201,CMP-000071,Lifecycle Winback Global 2025 Social,paid_social,27621.86,72,19800.0,0.716823559311357,383.63694444444445,0.0074361574567775,0.0018664938431626,-0.0055696636136148,3.019805771548856,True,reduce,-0.25,20716.395,High spend is not producing enough attributed revenue.
202,CMP-000073,Cart Recovery US 2025 Social,paid_social,19152.4,53,14575.0,0.7610012322215493,361.3660377358491,0.0051560706655955,0.0013739468567725,-0.0037821238088229,2.9978005366592844,True,reduce,-0.25,14364.3,High spend is not producing enough attributed revenue.
203,CMP-000041,creator_spark_emea_2025_social,paid_social,21224.21,56,15400.0,0.7255864882603404,379.00375,0.0057138283756312,0.0014517174335709,-0.0042621109420602,2.890962261863986,True,reduce,-0.25,15918.1575,High spend is not producing enough attributed revenue.
204,CMP-000023,regional_expansion_global_q4_social,paid_social,11336.2,33,9075.0,0.8005328064077909,343.52121212121216,0.0030518498088659,0.0008554763447828,-0.002196373464083,2.8010035525357955,True,monitor,0.0,11336.2,Balanced spend and conversion performance.
205,CMP-000040,competitor_search_global_q4_social,paid_social,13785.34,37,10175.0,0.7381029412404772,372.5767567567568,0.0037111895735918,0.0009591704471808,-0.002752019126411,2.657392852245587,True,monitor,0.0,13785.34,Balanced spend and conversion performance.
206,CMP-000039,PRODUCT LAUNCH NA 2025,paid_search,8412.47,25,6875.0,0.8172391699465199,336.49879999999996,0.0022647443553916,0.000648088139987,-0.0016166562154045,2.6464775481842606,True,monitor,0.0,8412.47,Balanced spend and conversion performance.
207,CMP-000011,ENTERPRISE ABM APAC FY25 SOCIAL,paid_social,10428.43,29,7975.0,0.7647363984799246,359.6010344827586,0.0028074665321952,0.0007517822423849,-0.0020556842898102,2.5804625932735634,True,monitor,0.0,10428.43,Balanced spend and conversion performance.
208,CMP-000021,COMPETITOR SEARCH EMEA 2025 SOCIAL,paid_social,17892.54,44,12100.0,0.6762594913857954,406.6486363636364,0.0048169002645618,0.0011406351263771,-0.0036762651381846,2.5375289878276153,True,reduce,-0.25,13419.405,High spend is not producing enough attributed revenue.
209,CMP-000062,Regional Expansion EMEA FY25 Social,paid_social,9682.84,27,7425.0,0.7668204782894275,358.6237037037037,0.0026067441826431,0.000699935191186,-0.0019068089914571,2.5361345663361656,True,monitor,0.0,9682.84,Balanced spend and conversion performance.
210,CMP-000071,cart_recovery_global_fy25_social,paid_social,14972.94,38,10450.0,0.6979257246739785,394.02473684210526,0.0040309066598296,0.0009850939727802,-0.0030458126870493,2.5264357898923335,True,monitor,0.0,14972.94,Balanced spend and conversion performance.
211,CMP-000028,Regional Expansion Global 2025,paid_search,8879.9,24,6600.0,0.7432516131938423,369.99583333333334,0.0023905824807032,0.0006221646143875,-0.0017684178663157,2.3747504708407927,True,monitor,0.0,8879.9,Balanced spend and conversion performance.
212,CMP-000068,Lifecycle Winback APAC 2025 Social,paid_social,26709.32,55,15125.0,0.5662817323690756,485.624,0.0071904900351916,0.0014257939079714,-0.0057646961272201,2.221836167552087,True,reduce,-0.25,20031.99,High spend is not producing enough attributed revenue.
