source_system,batch_id,target_month,region,channel,target_spend,target_revenue,target_leads,target_conversions,budget_owner,ingestion_available_at,reporting_month,normalized_channel,actual_spend,actual_revenue,actual_leads,spend_attainment,revenue_attainment,lead_attainment
marketing_targets,batch_20260818T025519Z,2025-01-01,,paid_search,332542.12,648584.94,10405,873,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_search,3344108.93,0.0,341.0,10.056196580451223,0.0,0.03277270543008169
marketing_targets,batch_20260818T025519Z,2025-01-01,,paid_social,38353.05,817698.01,5061,2372,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_social,8093259.91,0.0,389.0,211.0199817224445,0.0,0.07686228018178226
marketing_targets,batch_20260818T025519Z,2025-01-01,,email,355728.72,170243.22,13209,1502,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,email,0.0,0.0,169.0,0.0,0.0,0.01279430691195397
marketing_targets,batch_20260818T025519Z,2025-01-01,,organic,214820.01,563501.79,278,2304,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,organic,0.0,0.0,148.0,0.0,0.0,0.5323741007194245
marketing_targets,batch_20260818T025519Z,2025-01-01,,direct,214076.84,262481.47,11649,1597,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,direct,0.0,0.0,122.0,0.0,0.0,0.010473001974418404
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,paid_search,308435.93,969282.68,11080,2389,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_search,3344108.93,0.0,341.0,10.842151010097949,0.0,0.030776173285198556
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,paid_social,141660.68,1015979.28,8711,1171,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_social,8093259.91,0.0,389.0,57.131307784206605,0.0,0.04465618183905407
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,email,177440.1,392918.9,1561,2048,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,email,0.0,0.0,169.0,0.0,0.0,0.108263933376041
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,organic,104745.07,1197500.33,885,1956,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,organic,0.0,0.0,148.0,0.0,0.0,0.1672316384180791
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,direct,131592.29,736403.35,5633,1657,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,direct,0.0,0.0,122.0,0.0,0.0,0.021658086277294514
marketing_targets,batch_20260818T025519Z,2025-01-01,EMEA,paid_search,271674.89,1039686.86,11777,2487,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_search,3344108.93,0.0,341.0,12.309230823651019,0.0,0.028954742294302453
marketing_targets,batch_20260818T025519Z,2025-01-01,EMEA,paid_social,100753.44,546458.55,12718,1273,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_social,8093259.91,0.0,389.0,80.32738048447776,0.0,0.030586570215442678
