reporting_month,normalized_channel,spend,impressions,clicks,platform_conversions,leads,qualified_leads,closed_won_conversions,booked_revenue,gross_margin,channel_name,ctr,cpc,cac,roas,mer,contribution_after_marketing,budget_recommendation
2025-01-01,direct,0.0,0.0,0.0,0.0,122.0,60.0,0.0,0.0,0.0,Direct,0.0,0.0,0.0,0.0,0.0,0.0,no_spend
2025-01-01,email,0.0,0.0,0.0,0.0,169.0,83.0,0.0,0.0,0.0,Email,0.0,0.0,0.0,0.0,0.0,0.0,no_spend
2025-01-01,organic,0.0,0.0,0.0,0.0,148.0,72.0,0.0,0.0,0.0,Organic Search,0.0,0.0,0.0,0.0,0.0,0.0,no_spend
2025-01-01,paid_search,3344108.93,22517093.0,1249055.0,48723.0,341.0,154.0,0.0,0.0,0.0,Paid Search,0.055471414538279876,2.677311191260593,0.0,0.0,0.0,-3344108.93,cut_or_fix
2025-01-01,paid_social,8093259.91,170803581.0,5060655.0,107465.0,389.0,189.0,0.0,0.0,0.0,Paid Social,0.029628506442145378,1.5992514625083116,0.0,0.0,0.0,-8093259.91,cut_or_fix
2025-01-01,referral,0.0,0.0,0.0,0.0,86.0,35.0,0.0,0.0,0.0,Referral,0.0,0.0,0.0,0.0,0.0,0.0,no_spend
2025-01-01,unknown,0.0,0.0,0.0,0.0,45.0,19.0,120.0,396912.31,270181.91,Unknown,0.0,0.0,0.0,0.0,0.0,270181.91,no_spend
2025-02-01,unknown,0.0,0.0,0.0,0.0,0.0,0.0,196.0,649169.53,434030.72,Unknown,0.0,0.0,0.0,0.0,0.0,434030.72,no_spend
2025-03-01,unknown,0.0,0.0,0.0,0.0,0.0,0.0,191.0,671530.03,443892.14,Unknown,0.0,0.0,0.0,0.0,0.0,443892.14,no_spend
2025-04-01,unknown,0.0,0.0,0.0,0.0,0.0,0.0,93.0,355933.12,243493.5,Unknown,0.0,0.0,0.0,0.0,0.0,243493.5,no_spend
