target_month,channel,budget_owner,target_spend,target_revenue,target_leads,actual_spend,actual_revenue,actual_leads,remaining_budget,revenue_gap,lead_gap,spend_attainment,revenue_attainment,lead_attainment,efficiency_score,pacing_status
2025-01-01,direct,finance,1130125.53,3815704.08,32672,0.0,0.0,122.0,1130125.53,3815704.08,32550.0,0.0,0.0,0.0037340842311459352,0.0,under_pacing
2025-01-01,direct,growth,2293379.86,7882826.29,88487,0.0,0.0,122.0,2293379.86,7882826.29,88365.0,0.0,0.0,0.0013787335992857708,0.0,under_pacing
2025-01-01,direct,regional_marketing,1512564.53,3343545.63,44926,0.0,0.0,122.0,1512564.53,3343545.63,44804.0,0.0,0.0,0.002715576726171927,0.0,under_pacing
2025-01-01,email,finance,3009708.1,7518139.47,67582,0.0,0.0,169.0,3009708.1,7518139.47,67413.0,0.0,0.0,0.00250066585777278,0.0,under_pacing
2025-01-01,email,growth,1006314.48,3033527.36,58696,0.0,0.0,169.0,1006314.48,3033527.36,58527.0,0.0,0.0,0.0028792421970832765,0.0,under_pacing
2025-01-01,email,regional_marketing,1288374.03,3655009.4699999997,29551,0.0,0.0,169.0,1288374.03,3655009.4699999997,29382.0,0.0,0.0,0.0057189266014686475,0.0,under_pacing
2025-01-01,organic,finance,1313660.0699999998,6153729.74,57079,0.0,0.0,148.0,1313660.0699999998,6153729.74,56931.0,0.0,0.0,0.0025928975630266824,0.0,under_pacing
2025-01-01,organic,growth,2297162.17,4662318.72,74680,0.0,0.0,148.0,2297162.17,4662318.72,74532.0,0.0,0.0,0.0019817889662560257,0.0,under_pacing
2025-01-01,organic,regional_marketing,1961200.93,5244558.44,37408,0.0,0.0,148.0,1961200.93,5244558.44,37260.0,0.0,0.0,0.003956372968349016,0.0,under_pacing
2025-01-01,paid_search,finance,1615414.9300000002,2981192.81,51596,3344108.93,0.0,341.0,-1728694.0,2981192.81,51255.0,2.0701238226144163,0.0,0.006609039460423289,-1.0701238226144163,under_pacing
2025-01-01,paid_search,growth,2234543.75,6073195.8100000005,58565,3344108.93,0.0,341.0,-1109565.1800000002,6073195.8100000005,58224.0,1.4965511102657982,0.0,0.005822590284299496,-0.49655111026579823,under_pacing
2025-01-01,paid_search,regional_marketing,2271336.7,6590953.83,74721,3344108.93,0.0,341.0,-1072772.23,6590953.83,74380.0,1.4723087642620312,0.0,0.004563643420189773,-0.47230876426203117,under_pacing
2025-01-01,paid_social,finance,1492515.46,4824607.49,57704,8093259.91,0.0,389.0,-6600744.45,4824607.49,57315.0,5.422563535790778,0.0,0.006741300429779565,-4.422563535790778,under_pacing
2025-01-01,paid_social,growth,1725715.12,3461111.52,77343,8093259.91,0.0,389.0,-6367544.79,3461111.52,76954.0,4.689800660725508,0.0,0.005029543720828,-3.689800660725508,under_pacing
2025-01-01,paid_social,regional_marketing,1605455.3699999999,5600508.24,79859,8093259.91,0.0,389.0,-6487804.54,5600508.24,79470.0,5.041099280137573,0.0,0.004871085287819783,-4.041099280137573,under_pacing
